pos,poserr,energ,energerr,deriv,deriverr
1.64,0.02,5.36,0.52,0.15,0.01
3.27,0.04,5.15,0.46,0.10,0.01
4.70,0.06,5.00,0.36,0.11,0.01
5.73,0.08,4.89,0.37,0.11,0.01
6.75,0.09,4.78,0.44,0.10,0.01
7.77,0.11,4.67,0.47,0.10,0.01
8.59,0.12,4.58,0.40,0.13,0.01
9.82,0.13,4.47,0.38,0.07,0.01
11.45,0.16,4.30,0.45,0.13,0.01
12.88,0.18,4.12,0.45,0.11,0.01
14.31,0.20,3.95,0.46,0.13,0.01
16.36,0.22,3.72,0.51,0.10,0.01
18.20,0.25,3.51,0.53,0.13,0.02
20.04,0.28,3.28,0.53,0.12,0.02
22.09,0.30,3.03,0.53,0.12,0.02
23.93,0.33,2.76,0.53,0.17,0.03
25.97,0.36,2.46,0.53,0.12,0.03
28.22,0.39,2.12,0.48,0.18,0.04
30.67,0.42,1.69,0.50,0.17,0.05
33.13,0.46,1.30,1.06,0.15,0.12
35.38,0.49,0.89,1.52,0.23,0.38
