tlak,count,time,energy,sigmaenergy,fwhm
20,40.17,116.22,5.486,0.5,145.9
60,36.57,106.94,5.236,0.53,152.1
100,20.1,205.07,5.07,0.38,155.7
130,88.49,256.03,4.933,0.34,159.8
150,63.95,185.46,4.841,0.4,162.7
180,46.74,137.73,4.717,0.47,161.2
200,46.88,135.53,4.632,0.47,167.9
220,95.12,276.50,4.529,0.33,172.1
260,56.83,167.74,4.407,0.42,175.4
300,44.31,128.77,4.193,0.48,183.8
330,57.74,167.38,4.052,0.42,190.4
370,43.11,125.77,3.846,0.49,201.3
430,37.67,108.99,3.59,0.52,219.2
460,35.18,103.13,3.427,0.54,227.6
520,40.99,119.21,3.127,0.51,251.5
560,35.37,104.21,2.926,0.54,272.7
610,39.64,116.24,2.586,0.51,307.1
660,35.45,103.91,2.335,0.54,339.6
720,58.40,180.53,1.896,0.41,408.6
780,31.13,195.51,1.481,0.58,428.1
840,4.46,279.86,1.124,1.54,382.4
890,0.08,320.94,0.663,1.49,403.6
